row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area
319,172.169227,9.722973,24936.703
320,403.1378022,9.722973,912211.06
321,425.1197191,9.722973,61346.535
322,450.2687211,9.722973,22755.633
323,534.318584,9.782917,45311.32
324,555.3132744,9.782917,50279.62
325,371.2787636,9.822374,15869.753
326,214.2525333,9.852765,187129.25
327,288.0860921,9.9216385,214925.38
328,353.2678651,9.9216385,90753.2
329,886.5293397,9.9216385,238877.36
330,275.2001068,9.951403,51993.72
331,293.2104501,9.951403,211862.23
332,333.2028741,9.951403,24739.139
333,230.2474117,9.985025,2381793
334,476.276493,10.049093,29923.502
335,554.3437278,10.049093,18569.47
336,784.3313841,10.049093,73415.45
337,275.2001002,10.108683,31599.096
338,316.2839937,10.108683,380921.34
339,566.3526603,10.108683,19048.912
340,433.1485034,10.145991,336850.56
341,566.3528928,10.206036,32031.035
342,606.3477486,10.23648,54288.414
343,492.3085424,10.304404,16986.34
344,286.1431217,10.429681,984938.75
345,900.5463454,10.429681,33867.996
346,373.1273675,10.464721,650987.2
347,443.299706,10.464721,43748.426
348,371.3264456,10.524941,197356.58
349,392.2271265,10.524941,18572.994
350,932.4808092,10.555263,21768.672
351,345.2263165,10.584979,137621.11
352,663.2891948,10.584979,138724.5
353,286.1432017,10.614445,210406.56
354,318.2995524,10.614445,1244128.9
355,694.399435,10.614445,69847.57
356,343.2470389,10.650025,57320.023
357,518.3232977,10.650025,54342.465
358,620.3626789,10.679468,263727.7
359,886.5295663,10.679468,75573.93
360,351.2521554,10.712775,90089.59
361,297.2418244,10.742234,103804.27
362,337.234189,10.742234,120539.336
363,306.2783967,10.771711,222629.16
364,478.2920004,10.771711,924624.7
365,199.168922,10.805637,35491.938
366,300.2891878,10.86473,105711.914
367,351.2521075,10.86473,218371.47
368,518.3232335,10.86473,719903.94
369,579.2915702,10.86473,606207.3
370,597.3022434,10.86473,834074
371,328.2839384,10.898544,284816.66
372,506.323953,10.928521,50354.125
373,186.1850266,10.965637,108516.93
374,696.415596,10.965637,29887.564
375,573.3023886,11.065415,84856.69
376,640.3444027,11.065415,86858.53
377,494.3235819,11.09521,195096.45
378,696.4152268,11.09521,78207.27
379,291.1950284,11.129626,38458.08
380,389.1223214,11.129626,50907.06
381,701.3710841,11.189475,7008.1553
382,186.1849354,11.223632,75204.5
383,300.2891165,11.223632,76994.08
384,454.2920507,11.223632,132903.1
385,478.2919902,11.253294,286756.62
386,369.2624473,11.348428,389987.9
387,696.4145498,11.348428,1032541.9
388,701.3698803,11.348428,525466.06
389,717.3438731,11.348428,244545.73
390,353.2677622,11.38068,168407.62
391,520.3385612,11.38068,1991194.1
392,555.2916692,11.38068,1002026.75
393,573.3020805,11.38068,1196009.1
394,482.3232998,11.410166,408826.47
395,302.3047227,11.440104,156815.2
396,394.2249235,11.440104,59997.035
397,330.2993601,11.476456,387143.4
398,353.2676117,11.505716,969378.25
399,393.2599681,11.505716,405485.03
400,402.320241,11.505716,157082.55
401,409.2338943,11.505716,258283.58
402,478.291773,11.505716,3042065.8
403,312.1586154,11.573535,89986.15
404,520.3385422,11.602662,1.65E+07
405,558.2943333,11.602662,407599.4
406,353.2675444,11.631646,671885.94
407,393.2599539,11.631646,79300.336
408,409.233889,11.631646,80617.44
409,542.3203088,11.631646,430223.47
