row ID,row m/z,row retention time
973,359.2404101,19.52
973,359.2404101,19.6
974,296.2195455,13.28
974,296.2195455,13.19
975,359.2403723,19.15
976,991.5574372,16.61
977,463.4112403,17.83
978,445.3649714,16.16
978,445.3649714,16.31
979,419.3146725,18.02
980,319.0449886,7.22
981,505.4580191,18.65
982,419.3136203,16.27
982,419.3136203,16.6
983,567.4215743,16.35
984,575.5042284,19.11
985,813.4902853,17.59
986,487.0847992,7.66
986,487.0847992,7.36
987,381.1156044,5.55
987,381.1156044,5.83
988,611.4668312,16.84
989,691.5254079,18.91
990,393.228999,17.4
991,335.10942,4.42
991,335.10942,4.44
992,457.2551705,15.57
993,611.1632962,7.06
993,611.1632962,6.88
994,987.5991229,17.71
995,317.2105699,11.68
996,392.3135551,14.96
997,691.5276474,16.27
998,903.5609453,19.23
999,163.074991,6.32
1000,465.1017114,7.93
1001,549.1942407,6.91
1001,549.1942407,6.79
1002,379.1359698,7.6
1003,547.2150394,11.78
1004,379.1355027,7.64
1,360.3227347,17.15
1,360.3227347,17.24
2,381.2967175,16.82
2,381.2967175,16.91
3,338.3412617,17.17
3,338.3412617,17.24
4,353.2654598,16.28
4,353.2654598,16.37
5,409.1620852,11.89
5,409.1620852,12
6,282.2035781,11.58
6,282.2035781,11.72
7,116.9857426,21.28
7,116.9857426,21.29
8,266.1722989,11.46
8,266.1722989,11.61
9,274.2736762,11.92
9,274.2736762,11.97
10,250.1774094,11.58
10,250.1774094,11.7
