row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area
3111,149.0597172,0.66840243,0,0,0,0,0,0,49475.19,32652.213,67143.484,0,0,0
3131,103.0541109,0.67213345,0,0,0,0,0,0,75503.33,51790.12,89486.54,0,0,0
3132,131.0491093,0.67213345,0,0,0,0,0,0,39679.156,23434.643,53655.51,0,0,0
3138,166.0861818,0.6744088,0,0,0,0,0,0,1420408.2,912114.3,1863806.9,65166.426,0,11024.215
3147,120.0807346,0.6769825,0,0,0,0,0,0,1807178.9,1141253.9,2361411,75117.914,0,10206.573
3149,121.0670878,0.67718875,0,8715.859,8145.369,9178.942,10504.471,10248.207,2862628,4115390.2,122522.695,0,0,0
3191,214.9175324,0.68708897,0,0,0,0,0,0,0,0,0,0,328709.78,540568.5
3198,100.0755549,0.6889903,0,0,0,0,0,0,80060.3,75244.734,70934.164,71645.37,20420.357,17245.035
3200,220.1179685,0.6897062,0,0,0,0,0,0,76187.52,61140.16,63668.477,14012.014,0,0
3204,167.4867547,0.6911158,0,0,486097.56,0,0,0,0,0,0,0,0,0
3256,224.0917274,0.7094221,0,0,0,0,0,0,73475.82,68376.484,8794.5,0,0,0
3260,302.1961315,0.71135765,0,0,0,21349.205,21819.543,0,204728.11,191685.81,226889.75,291394.06,270507.3,240550.86
3289,305.1359912,0.7226495,0,0,0,0,0,0,0,0,0,343496.62,240693.78,196026.36
3331,296.1351528,0.7404577,0,0,0,0,0,0,49811.55,50013.02,28205.408,0,0,0
3334,301.9576792,0.7406592,0,0,1.38E+07,0,0,0,0,0,0,0,0,0
3375,240.9872237,0.7574272,0,0,1.09E+07,0,1.04E+07,0,0,0,0,0,0,0
3381,281.1377315,0.7598433,0,0,0,0,0,0,0,0,6967.854,230524.06,63159.26,66668.234
